CAP,Capella,27 Bears
CAP,Capella,27 Fish
CAP,Capella,Acai
CAP,Capella,Amaretto
CAP,Capella,Anise
CAP,Capella,Apple Pie
CAP,Capella,Apple Pie v2
CAP,Capella,Apple Snacks
CAP,Capella,Apricot
CAP,Capella,Banana
CAP,Capella,Banana Split
CAP,Capella,Bavarian Cream
CAP,Capella,Biscuit
CAP,Capella,Black Currant
CAP,Capella,Blackberry
CAP,Capella,Blue Raspberry Cotton Candy
CAP,Capella,Blueberry
CAP,Capella,Blueberry Cinnamon Crumble
CAP,Capella,Blueberry Extra
CAP,Capella,Blueberry Jam
CAP,Capella,Blueberry Pomegranate
CAP,Capella,Bold Tobacco
CAP,Capella,Boston Cream Pie
CAP,Capella,Boston Cream Pie v2
CAP,Capella,Bubble Gum
CAP,Capella,Butter Cream
CAP,Capella,Butter Pecan
CAP,Capella,Butterscotch
CAP,Capella,Cake Batter
CAP,Capella,Candied Watermelon
CAP,Capella,Cantaloupe
CAP,Capella,Cappuccino
CAP,Capella,Cappuccino v2
CAP,Capella,Caramel
CAP,Capella,Caramel v2
CAP,Capella,Cereal 27
CAP,Capella,Chai Tea
CAP,Capella,Cherry Cola
CAP,Capella,Chocolate Caramel Nut
CAP,Capella,Chocolate Coconut Almond
CAP,Capella,Chocolate Fudge Brownie
CAP,Capella,Chocolate Fudge Brownie v2
CAP,Capella,Chocolate Glazed Doughnut
CAP,Capella,Churro
CAP,Capella,Cinnamon Coffee Cake
CAP,Capella,Cinnamon Danish Swirl
CAP,Capella,Cinnamon Danish Swirl v2
CAP,Capella,Cinnamon Sugar
CAP,Capella,Coconut
CAP,Capella,Cola
CAP,Capella,Concord Grape
CAP,Capella,Cool Mint
CAP,Capella,Cotton Candy
CAP,Capella,Cranberry
CAP,Capella,Creamy Yogurt
CAP,Capella,Cucumber
CAP,Capella,Cup of Joe
CAP,Capella,Double Apple
CAP,Capella,Double Chocolate
CAP,Capella,Double Chocolate v2
CAP,Capella,Double Watermelon
CAP,Capella,Dragon Fruit
CAP,Capella,Dutch Chocolate Mint
CAP,Capella,Egg Nog
CAP,Capella,Energy Drink
CAP,Capella,Espresso
CAP,Capella,Fig
CAP,Capella,French Toast
CAP,Capella,French Vanilla
CAP,Capella,French Vanilla v2
CAP,Capella,Fruit Circles
CAP,Capella,Fuji Apple
CAP,Capella,Funnel Cake
CAP,Capella,Gingerbread
CAP,Capella,Glazed Doughnut
CAP,Capella,Golden Butter
CAP,Capella,Golden Pineapple
CAP,Capella,Graham Cracker
CAP,Capella,Graham Cracker v2
CAP,Capella,Grape
CAP,Capella,Grape Concord
CAP,Capella,Grapefruit
CAP,Capella,Greek Yogurt
CAP,Capella,Green Apple
CAP,Capella,Green Apple Hard Candy
CAP,Capella,Grenadine
CAP,Capella,Harvest Berry
CAP,Capella,Hazelnut
CAP,Capella,Hazelnut v2
CAP,Capella,Hibiscus
CAP,Capella,Honey
CAP,Capella,Honeydew Melon
CAP,Capella,Horchata
CAP,Capella,Hot Cinnamon Candy
CAP,Capella,Hot Cocoa
CAP,Capella,Irish Cream
CAP,Capella,Italian Lemon Sicily
CAP,Capella,Jelly Candy
CAP,Capella,Juicy Lemon
CAP,Capella,Juicy Orange
CAP,Capella,Juicy Peach
CAP,Capella,Kiwi
CAP,Capella,Kiwi Strawberry
CAP,Capella,Lemon Lime
CAP,Capella,Lemon Meringue Pie
CAP,Capella,Lemon Meringue Pie v2
CAP,Capella,Lime
CAP,Capella,Maple
CAP,Capella,Marshmallow
CAP,Capella,Menthol
CAP,Capella,Meringue
